Speaker,native_language,Score
S058,Mandarin Chinese,120
S048,Mandarin Chinese,115
S039,Arabic,80
S100,Mandarin Chinese,90
S032,Persian,110
S036,Spanish (Castilian),90
S089,Persian,125
S040,Persian,145
S092,Mandarin Chinese,100
S015,Spanish (Castilian),105
S003,Arabic,105
S041,Mandarin Chinese,115
S062,Spanish (Castilian),110
S086,Spanish (Castilian),100
S078,Spanish (Castilian),70
S098,Mandarin Chinese,125
S093,Mandarin Chinese,90
S022,Spanish (Castilian),120
S004,French,130
S047,Spanish (Castilian),90
S099,Mandarin Chinese,130
S069,Spanish (Castilian),95
S063,Persian,80
S059,French,110
S045,Mandarin Chinese,105
S014,Persian,120
S013,Mandarin Chinese,130
S051,Mandarin Chinese,115
S065,Arabic,105
S082,Mandarin Chinese,80
S026,French,105
S020,Persian,90
S018,English,135
S052,Mandarin Chinese,80
S038,Mandarin Chinese,110
S096,Arabic,85
S081,French,100
S071,Spanish (Castilian),125
S083,Persian,115
S095,Persian,120
S084,Spanish (Castilian),85
S085,Mandarin Chinese,90
S010,Spanish (Castilian),110
S072,Mandarin Chinese,125
S021,Arabic,115
S007,Spanish (Castilian),105
S097,French,100
S033,English,120
S023,Arabic,140
S090,Mandarin Chinese,70
S028,Arabic,100
S087,Mandarin Chinese,70
S077,French,90
S091,French,100
S025,Arabic,95
S068,Arabic,110
S094,Arabic,80
S060,French,105
S034,Arabic,100
S011,Mandarin Chinese,135
S080,Mandarin Chinese,100
S043,French,125
S074,Mandarin Chinese,110
S006,French,115
S001,Arabic,125
S049,Mandarin Chinese,110
S054,French,120
S008,English,125
S067,Spanish (Castilian),115
S019,Mandarin Chinese,140
S035,Persian,105
S012,French,125
S005,Arabic,125
S075,Spanish (Castilian),135
S061,Arabic,120
S050,Spanish (Castilian),100
S027,Persian,85
S030,Spanish (Castilian),130
S044,Persian,100
S042,Mandarin Chinese,110
S073,Mandarin Chinese,120
S057,Mandarin Chinese,105
S037,Mandarin Chinese,95
S002,Arabic,115
S017,French,115
S053,Mandarin Chinese,105
S079,Arabic,90
S070,Persian,95
S076,Spanish (Castilian),115
S024,Spanish (Castilian),130
S056,Arabic,110
S046,Mandarin Chinese,120
S055,Arabic,125
S029,Arabic,130
S016,French,95
S031,Arabic,95
S088,Arabic,80
S066,Spanish (Castilian),120
S009,Spanish (Castilian),75
S064,Mandarin Chinese,90
